,CHKR,OXSQ,VOC,USEA,FAT,MIND,NHTC,ABEV,LYG,MFG,NOK,BTG,SAN,PBI,CCEL,WHF,OFS,MRCC,PTMN,TPVG,CMBT,ZIM,OXLC,ECC,ORC,PSEC,TWO,AGNC,FSK,DX,NLY,INSW,MITT,SUNS,PBR,EFC,SDIV,QYLD,TRIN,ARLP,BCSF,RA,USA,GBDC,NMFC,PNNT,GSBD
CHKR,0.0013303990619879418,-1.1137469250172509e-05,9.492373518667492e-05,3.692194632286937e-05,-0.0001046497939725032,3.3984024464705325e-05,-9.710263468241167e-05,-0.00010098247193261407,-7.131784206044512e-05,5.893842756591505e-06,9.868424407342231e-06,-1.465288778778413e-05,-5.757466979172385e-05,8.346275737625718e-05,-0.00014095652129937595,3.5050009069839266e-06,-9.862602354117349e-05,-5.5865031959000375e-05,-1.6896804953676653e-05,-5.013300146079381e-05,-3.916047157257536e-05,8.957287891072479e-05,-3.3380540324495686e-06,-3.577212807102087e-05,-4.070793482437988e-05,-2.719610598829098e-05,-1.1260044654310356e-05,-1.5326228760243924e-05,-1.785904230701136e-05,-1.0213672237711149e-05,-2.080541399226484e-05,3.9575647510719094e-05,-2.7272265207372877e-05,8.820176050628133e-05,1.2855667555193449e-05,1.405329076717292e-05,-3.3383661903425775e-05,-2.472426931796743e-05,-4.059416005923947e-05,-4.490151787862842e-06,-1.972121979231339e-05,-1.567314571122037e-05,-1.5472061425391005e-05,-4.954697242549784e-07,8.879305213558919e-06,-5.4080665145220576e-05,-3.200003256936735e-05
OXSQ,-1.1137469250172509e-05,0.0001657550693143647,7.374961294034506e-05,8.406286220036803e-06,0.00013993043510813135,8.575649411717518e-05,5.0549630639440944e-05,5.0327258831019254e-05,7.819105568976718e-05,0.00010289722958341883,5.766188490411921e-05,3.7658820149615035e-05,8.344689516020764e-05,0.00010791841751570284,1.751457038618459e-05,5.861832985224703e-05,5.8740321412250917e-05,8.575599198667998e-05,5.663255836797764e-05,0.00010801925825735426,8.366032203793535e-05,9.365411781124055e-05,7.392395670913123e-05,6.855954696169113e-05,9.599219724728053e-05,9.995784254165188e-05,9.866540607852567e-05,8.511826925612965e-05,8.895270385232154e-05,7.418126926211976e-05,8.970000705969823e-05,3.9617104073197235e-05,8.834316179631249e-05,9.218190312345425e-05,6.839830748037592e-05,8.178090423336999e-05,6.240855617341164e-05,6.548752604423765e-05,7.537776229098083e-05,2.9530010096990725e-05,8.061460864169475e-05,4.074143402864095e-05,7.064256690134121e-05,7.234266442324168e-05,7.49611992069175e-05,9.682206476515354e-05,7.94404009879863e-05
VOC,9.492373518667492e-05,7.374961294034506e-05,0.0009036857219554069,0.00011954133241711147,0.00015630324963895382,0.0001619583680559693,-4.0450957985505086e-05,7.386598498777384e-05,6.840322212744265e-05,0.00017700818300319914,0.00012014277532215434,0.00011062989471084896,0.0001694758719874185,0.00017804436976007356,1.9121518208410053e-06,0.00012075954616842775,0.00010661875386112672,0.00015495929150475895,0.00010365801207381337,0.00017488331377513516,0.00019660354165741513,0.0003217137302832904,8.620744599785355e-05,0.00010420547381265968,0.00014168454366887494,0.0001623717927654155,0.00014711499648390947,9.354282111007393e-05,0.0001835108644124854,9.795701832868324e-05,0.00012068244649209263,0.00026961985261302193,0.00015309988569943983,0.00040122954318025036,0.00020879286931869428,0.00013634446003762198,0.0001362778000108112,0.00012602620220718362,0.00011819622516945692,0.00013464895700961225,0.00015829873471953992,5.6117408174372135e-05,9.643574517989326e-05,0.0001461179770979429,0.0001746018087654085,0.00014494101539961105,0.00015104109612536988
USEA,3.692194632286937e-05,8.406286220036803e-06,0.00011954133241711147,0.0005777051957004253,5.515752029243438e-05,6.555072753884896e-05,-5.004024516920788e-05,1.7840155750705612e-05,2.663487093963823e-05,5.5423213385924884e-05,1.744944980194098e-05,8.820913556745884e-05,4.0496941421371916e-05,6.618565931921384e-05,9.893477039224843e-05,1.2574465088257749e-05,4.877537205802371e-06,2.871695443270328e-05,5.621073402409779e-05,4.668880324724283e-05,0.00011858897964696303,6.225504669478742e-05,1.2355174633359123e-06,-1.2731647716079938e-05,4.262739187924311e-05,6.0513747803559305e-05,4.0766248408370035e-05,1.7275611115363635e-05,4.386317981746397e-05,2.9586334352596216e-05,1.7602373606995044e-05,8.680029637905325e-05,3.663436746577919e-05,6.943070904101816e-05,8.703075640168518e-05,3.8118580168159645e-05,4.8571448288182e-05,2.3404147957341052e-05,3.7705121137569545e-05,3.582402879060477e-05,4.933711077344075e-05,7.446851885785752e-06,2.6933774479814635e-05,3.711601717285139e-05,2.34214821341643e-05,3.348839629660833e-05,3.585232578744136e-05
FAT,-0.0001046497939725032,0.00013993043510813135,0.00015630324963895382,5.515752029243438e-05,0.00110717128206771,0.00023115315791738165,9.907427366412368e-05,8.981072313626245e-05,8.34092828486844e-05,0.0001877741783935053,0.00015185521723693604,2.9667450123644547e-05,0.0001555572938528879,0.0001569470942543994,0.0002308529197359463,3.9838660853877494e-05,8.562996416425737e-05,8.392809837784202e-05,0.00011336384767921854,0.00021700881002555282,0.00013206755938960493,0.00031171557507080885,0.000125162895159464,0.00010131201235982869,0.00017209498512931961,0.0001282935280408466,0.00020885298600796967,0.00016348524016189249,0.00017044553200966776,0.00012877348151690634,0.00017585807648612717,6.55645688459338e-05,0.00017343681507986229,0.0001167589492021452,0.00013985574429927123,0.00013821806018688576,0.00011608478079844818,0.00012602121093925313,0.00013263979176509605,1.0097394586882525e-05,0.00014003477355222814,4.9570000143066794e-05,0.0001345674430700454,0.00013099665000782676,0.0001454637662615167,0.00015679022310777072,0.00012770697750165135
MIND,3.3984024464705325e-05,8.575649411717518e-05,0.0001619583680559693,6.555072753884896e-05,0.00023115315791738165,0.0025414358144439765,-5.0653371011937045e-05,7.738970953370097e-05,0.00015299257217594471,0.00016695911754557657,0.0001306304429113003,8.369431501711052e-05,3.361168905722202e-05,0.00026858195881538803,7.191180462819918e-05,7.239042591191776e-05,9.696984115726193e-05,0.00012734912195696378,0.00010004967803757749,0.00011848451300464086,0.0001477543794289103,0.00014001371435947758,0.00012103213009986894,6.608671021933503e-05,0.00012177708876848664,8.926191041352977e-05,0.00010958391677780567,0.00010856869153623914,0.00014624726506766718,8.621382364215935e-05,0.00011012327093804158,5.646161133015411e-05,8.002813562929736e-05,8.023581476677786e-05,0.0002102001887048993,7.991888184620067e-05,9.448441087778958e-05,0.00013911979560806266,8.984544043347741e-05,9.450082877155356e-05,0.00011018337085906697,5.023436399215074e-05,0.00010081454160880952,0.00015492039611456602,0.00014729808482016847,0.000135081994600043,0.00013148927252595969
NHTC,-9.710263468241167e-05,5.0549630639440944e-05,-4.0450957985505086e-05,-5.004024516920788e-05,9.907427366412368e-05,-5.0653371011937045e-05,0.0005956067887153791,3.9070795492603305e-05,5.816644077727912e-05,6.604390661621097e-05,7.626946357889735e-05,4.713288569144672e-05,3.852814460923534e-05,5.2872625780435586e-05,0.0001801953470434917,1.5900291562484016e-05,7.4226913002195885e-06,2.5930036649632264e-05,1.9827973689670882e-05,1.3332614655444969e-05,6.21974766968546e-06,7.932262939237502e-05,3.4389262919238144e-05,1.0108141743242115e-05,5.080584316235725e-05,3.737351651590914e-05,7.819842524546528e-05,5.096104422541861e-05,1.5697238517008802e-05,4.0440718187539434e-05,4.1143090102923294e-05,-2.8228730704168796e-06,3.387850351410968e-05,3.2389216067536063e-06,6.177189856478465e-05,3.9071646458135794e-05,3.591412306754362e-05,1.919118197351401e-05,2.13237920871721e-05,-5.522455616743822e-05,3.598536291762389e-05,1.8854099056995323e-05,2.973234590379991e-05,2.3688916029873754e-05,2.9833013881917433e-05,2.0812538579033185e-05,-2.056541086299867e-06
ABEV,-0.00010098247193261407,5.0327258831019254e-05,7.386598498777384e-05,1.7840155750705612e-05,8.981072313626245e-05,7.738970953370097e-05,3.9070795492603305e-05,0.0003475637856128696,0.00012678185309576058,0.0001231908895100067,9.961620447839896e-05,5.955036465232032e-05,0.00010882101624900566,8.547219485883924e-05,6.88187631351271e-05,6.567370675345783e-05,5.347353317758232e-05,9.663172884229173e-05,6.355500266235938e-05,9.245458692424386e-05,9.43429182875115e-05,3.297571214312034e-05,5.3588340764206975e-05,6.552382923543381e-05,9.98319132732839e-05,6.524452798449136e-05,0.0001103618805619803,7.083841451323941e-05,6.628265246200664e-05,7.402620102025437e-05,8.181748258774843e-05,4.768979980788788e-05,8.843965973513632e-05,7.505436469994111e-05,0.0001477881644928078,7.198651951380861e-05,9.111448966108185e-05,5.3843820436969656e-05,5.679091627514463e-05,2.7436944734229225e-05,6.633134259317082e-05,2.4469388545809526e-05,6.366253409390978e-05,6.697557121164138e-05,6.29509453628715e-05,9.363626129952462e-05,6.524092879990323e-05
LYG,-7.131784206044512e-05,7.819105568976718e-05,6.840322212744265e-05,2.663487093963823e-05,8.34092828486844e-05,0.00015299257217594471,5.816644077727912e-05,0.00012678185309576058,0.0004274775476949067,0.0002436010872228867,0.00016299066856092603,0.00018232259463328552,0.00028024338171176783,0.00023267204835325517,3.9747263395580436e-05,6.758292899857692e-05,7.376592951592614e-05,0.00010451965941617603,8.634777188495201e-05,0.00013517357767133288,0.0001335831110529586,0.00018765998682451657,0.00012493067279641655,0.0001229632443657845,0.0001231698424294353,0.00014811630900036366,0.00016031221519430199,0.00011428852662417745,0.00012887136021524776,0.00010774540215805267,0.00013314514145114833,0.00010522842077843467,0.00014405138500843043,0.0001344239058355453,0.00011897756703449253,0.00012412299098554292,0.00013725219649925695,0.00014620856185581268,9.740275438521724e-05,0.0001049875892031317,0.00012442632679850654,5.426169668507428e-05,0.00012275051811641701,0.00011489217771959198,9.652708124089126e-05,0.00013681706731265373,0.00011463974049493521
MFG,5.893842756591505e-06,0.00010289722958341883,0.00017700818300319914,5.5423213385924884e-05,0.0001877741783935053,0.00016695911754557657,6.604390661621097e-05,0.0001231908895100067,0.0002436010872228867,0.0006526153277699901,0.00015137428315383324,0.0001719309371356083,0.00026806788010149687,0.0002764024590930764,5.861603377489929e-07,0.000101296461380601,0.0001228293769953942,0.00015276907604329102,0.00012588950383355725,0.00018753274002957025,0.0001471761326295328,0.0002975394144209011,0.0001765068739375517,0.0001689074640144638,0.0001557208457477996,0.00017793910197246005,0.00015958019338572745,0.00012712622797249402,0.0001690595414760287,0.0001302603974414276,0.00014903442681618213,0.0001994399284982556,0.00019303065461965477,0.00023355091979190997,0.000163373417194988,0.0001326559395401556,0.00015637940671328314,0.00019336824422444044,0.00012404656894637322,0.000146165890415623,0.00016931865561812357,7.797149481274173e-05,0.00015143354177480167,0.0001614233251128842,0.00014177930284177396,0.00017814961965501746,0.00014444691991537408
NOK,9.868424407342231e-06,5.766188490411921e-05,0.00012014277532215434,1.744944980194098e-05,0.00015185521723693604,0.0001306304429113003,7.626946357889735e-05,9.961620447839896e-05,0.00016299066856092603,0.00015137428315383324,0.00043901750000392,0.00013392203365424524,0.00020170515596617365,0.0001289175382253905,-1.360392940843968e-05,4.4642836197820795e-05,5.103572781551851e-05,8.892067845803042e-05,9.066331539717567e-05,7.506055941715105e-05,0.00013717142477077834,0.0002993844154935985,9.795096826435643e-05,0.00011404627147988181,0.00010750959564905584,7.22687260964462e-05,0.0001247294495299508,8.708241194947841e-05,9.000239195570716e-05,7.204283078959937e-05,9.48666280453637e-05,0.00011955369329544776,0.0001339833608501024,9.671654810351905e-05,0.00011587449986164931,7.399485393399461e-05,0.00010295503797996174,0.0001030409154747007,8.129885486078476e-05,1.2218167149834608e-05,7.98088176696803e-05,4.376196615933715e-05,9.028942984681426e-05,8.011115079526071e-05,7.290161708773742e-05,9.403221310257057e-05,8.702880925017255e-05
BTG,-1.465288778778413e-05,3.7658820149615035e-05,0.00011062989471084896,8.820913556745884e-05,2.9667450123644547e-05,8.369431501711052e-05,4.713288569144672e-05,5.955036465232032e-05,0.00018232259463328552,0.0001719309371356083,0.00013392203365424524,0.000896991195817008,0.0001635157732948493,7.982031393294463e-05,-6.732158533961918e-05,8.729106491558602e-05,4.284407013746105e-05,4.7379315517991815e-05,5.364267035539814e-05,6.769228335846012e-05,0.0002580751273598885,8.903430734889926e-05,3.4798921179772396e-05,4.90995746391298e-05,0.00010694468395612226,0.00015551371199713955,8.273084792984772e-05,7.585127703611542e-05,4.558865638449437e-05,7.873851274592587e-05,8.183514677209238e-05,0.00022310070665952617,9.510941806412244e-05,0.00017531159318205834,0.0001376278887266416,6.637117339965198e-05,0.00012827966403970237,0.00012215121543026112,6.46829050026195e-05,6.674195068555489e-05,9.618270135386104e-05,3.9015543727530155e-05,0.00010035229532740171,8.283631839733705e-05,5.7368021962947096e-05,6.952469936389524e-05,0.00010677374050200321
SAN,-5.757466979172385e-05,8.344689516020764e-05,0.0001694758719874185,4.0496941421371916e-05,0.0001555572938528879,3.361168905722202e-05,3.852814460923534e-05,0.00010882101624900566,0.00028024338171176783,0.00026806788010149687,0.00020170515596617365,0.0001635157732948493,0.00048660374527711726,0.0002393891691845018,3.9645810264195715e-05,7.585012121057427e-05,8.383995765761484e-05,0.00011891736104845246,9.579827399700432e-05,0.0001658759040535494,0.00011985820805584854,0.00030069290142060594,0.0001192970007082768,0.00013329789289606041,0.0001468974662271967,0.00015574354956690467,0.00017148150161998575,0.00012357871480561832,0.00014090165465294822,0.00012079821537163256,0.00014002506147662775,0.00015287971402464938,0.00016760811246102717,0.00013470697784349282,0.00012295872161495065,0.00012125563227615185,0.00014874371770190543,0.00013943772005814566,0.000134446248302123,9.693098754986543e-05,0.00013576514907955001,6.749941755005145e-05,0.00012120198982777327,0.00011497321066419121,0.00011312184661772397,0.00014810137664597676,0.00013819208055905672
PBI,8.346275737625718e-05,0.00010791841751570284,0.00017804436976007356,6.618565931921384e-05,0.0001569470942543994,0.00026858195881538803,5.2872625780435586e-05,8.547219485883924e-05,0.00023267204835325517,0.0002764024590930764,0.0001289175382253905,7.982031393294463e-05,0.0002393891691845018,0.0008653630958628368,4.086204745914347e-05,0.00010535113208814313,8.666702554206453e-05,0.00015687027112941117,0.00011559441293137082,0.00018448734950921378,7.518992537282156e-05,0.00029785945668464787,0.0001395380916512933,0.00012531496138358105,0.000141963983314265,0.00018645613931457273,0.0001737441033726842,0.00014192598556996802,0.00017006025022674203,0.00011991055682958688,0.00016421258312231685,0.0001350612025196687,0.00021330772443009424,0.0003080987972750134,0.00012962419113675614,0.00014915097318428773,0.00015207276911797724,0.00017689894773148393,0.00010782437082260662,0.00010972385659526982,0.00016815844385167423,4.965524103512437e-05,0.00016279064437216834,0.0001373433177620026,0.00013821361442863803,0.00014592379938783783,0.00012724475777121732
CCEL,-0.00014095652129937595,1.751457038618459e-05,1.9121518208410053e-06,9.893477039224843e-05,0.0002308529197359463,7.191180462819918e-05,0.0001801953470434917,6.88187631351271e-05,3.9747263395580436e-05,5.861603377489929e-07,-1.360392940843968e-05,-6.732158533961918e-05,3.9645810264195715e-05,4.086204745914347e-05,0.0016573723873487957,8.455718221384685e-06,-3.7112908740305404e-05,3.348949988217079e-05,4.4231481829490515e-05,0.00011783347931852891,-6.621667293726504e-05,-0.00010515069975651145,-1.7006766869219814e-06,4.455826482355623e-06,0.00011439948286153953,-4.2681051834034007e-05,6.566301842290652e-05,7.053133286017373e-05,5.217329443551582e-05,5.9785173414119494e-05,9.170376482013616e-05,-0.00014285073387337025,6.125232129442454e-05,5.3324861717309934e-05,1.9522557344927036e-05,7.41456848702899e-05,2.217552848666211e-05,3.7468260876469643e-06,6.591460505846875e-05,1.4263373624862427e-05,5.950532280446046e-05,-1.1972225692268106e-06,2.4200046838284897e-05,2.3252789273782074e-05,5.5610181779886375e-05,5.82904175223878e-05,2.5524168794574853e-05
WHF,3.5050009069839266e-06,5.861832985224703e-05,0.00012075954616842775,1.2574465088257749e-05,3.9838660853877494e-05,7.239042591191776e-05,1.5900291562484016e-05,6.567370675345783e-05,6.758292899857692e-05,0.000101296461380601,4.4642836197820795e-05,8.729106491558602e-05,7.585012121057427e-05,0.00010535113208814313,8.455718221384685e-06,0.0001835830488613935,6.296572037689438e-05,9.253029838948117e-05,7.144102864238258e-05,8.556725589655619e-05,3.9125704636406145e-05,7.082180476640802e-05,4.798190236354966e-05,5.606403874664277e-05,7.572985293445179e-05,0.00012370014018687564,8.472878448118106e-05,6.165450475566885e-05,8.396561819182671e-05,5.603770122582698e-05,6.435267866875125e-05,4.5144523388291224e-05,8.528121539900683e-05,0.0001349666386118601,8.06571308358476e-05,7.987516137295473e-05,6.464361590215814e-05,5.148631328903418e-05,5.1008200158741425e-05,5.1182382765041687e-05,9.162008472104953e-05,2.1211076905166067e-05,5.002328597138539e-05,7.506881010234766e-05,7.89557087090321e-05,7.936769631315911e-05,7.313257811335144e-05
OFS,-9.862602354117349e-05,5.8740321412250917e-05,0.00010661875386112672,4.877537205802371e-06,8.562996416425737e-05,9.696984115726193e-05,7.4226913002195885e-06,5.347353317758232e-05,7.376592951592614e-05,0.0001228293769953942,5.103572781551851e-05,4.284407013746105e-05,8.383995765761484e-05,8.666702554206453e-05,-3.7112908740305404e-05,6.296572037689438e-05,0.0002788726197237323,5.8157602986186304e-05,5.36905296404452e-05,0.00010314922353719526,6.179417023861064e-05,5.512754198811775e-05,7.630339851257551e-05,8.233880269412217e-05,0.00011004495717620844,0.00010473047330836305,0.0001115258631891113,9.153298428500554e-05,0.0001099944183645284,8.417124229789627e-05,9.969937037584121e-05,7.757537409031266e-05,0.0001238910378048708,6.373421724821165e-05,0.00011070657084258735,7.350808514591446e-05,7.234482617765317e-05,5.5352280280862126e-05,8.89574631942352e-05,4.412661434819879e-05,0.00010363128778664189,3.342535632749702e-05,5.114300965113857e-05,8.771488436621862e-05,9.902308318068702e-05,0.00011525585116206717,9.8315532234909e-05
MRCC,-5.5865031959000375e-05,8.575599198667998e-05,0.00015495929150475895,2.871695443270328e-05,8.392809837784202e-05,0.00012734912195696378,2.5930036649632264e-05,9.663172884229173e-05,0.00010451965941617603,0.00015276907604329102,8.892067845803042e-05,4.7379315517991815e-05,0.00011891736104845246,0.00015687027112941117,3.348949988217079e-05,9.253029838948117e-05,5.8157602986186304e-05,0.0002790843515960623,9.205483591712329e-05,0.00014835072835640728,8.947059440397428e-05,0.0001834781918704424,0.00010473590310443415,0.00010901992501028013,0.00011695725587963253,0.000100460199337274,0.0001231175597398478,0.00010251700448501545,0.00012650426672370955,9.199006417366424e-05,0.00011362572164781132,7.918718140510392e-05,0.0001342609519504968,0.00012804473587727116,0.00012456082595654224,0.00010605524482583315,0.00010048104674726844,0.00010697630671573388,0.00010693386255944606,7.588158461396623e-05,0.0001376842981425682,5.5205019373111836e-05,0.0001010084252245616,9.880517041216062e-05,0.00012531072231641388,0.00013053721987814395,0.00010464702513736328
PTMN,-1.6896804953676653e-05,5.663255836797764e-05,0.00010365801207381337,5.621073402409779e-05,0.00011336384767921854,0.00010004967803757749,1.9827973689670882e-05,6.355500266235938e-05,8.634777188495201e-05,0.00012588950383355725,9.066331539717567e-05,5.364267035539814e-05,9.579827399700432e-05,0.00011559441293137082,4.4231481829490515e-05,7.144102864238258e-05,5.36905296404452e-05,9.205483591712329e-05,0.00017864122123767415,0.00011315671639992891,8.430003668714696e-05,0.00017405666238746675,8.71198439195902e-05,0.00011007317394498644,0.00010535387688327256,0.0001249431428230557,0.00010630731562457171,8.500312239589434e-05,0.00011018221450374782,7.98566621934028e-05,9.788489584557573e-05,3.0476800106080668e-05,0.00013034209775670023,0.0001108116914580396,9.125610129920541e-05,9.237721071551103e-05,8.013292819079777e-05,7.346530068615935e-05,7.520376179058262e-05,5.15777483172648e-05,0.00010798565363639413,4.27123733800878e-05,7.703131082222924e-05,8.474303639552686e-05,0.00010143881004699213,0.00010026775605043926,9.148497142965187e-05
TPVG,-5.013300146079381e-05,0.00010801925825735426,0.00017488331377513516,4.668880324724283e-05,0.00021700881002555282,0.00011848451300464086,1.3332614655444969e-05,9.245458692424386e-05,0.00013517357767133288,0.00018753274002957025,7.506055941715105e-05,6.769228335846012e-05,0.0001658759040535494,0.00018448734950921378,0.00011783347931852891,8.556725589655619e-05,0.00010314922353719526,0.00014835072835640728,0.00011315671639992891,0.0005140917828830815,0.00011554460759596892,0.00017545489269728728,0.00012751077365477005,0.0001413849935252929,0.00016213575778520852,0.00015468444503380488,0.00018271504762890488,0.0001349792717807855,0.00020574539593580795,0.00012475768634190133,0.00014932595576912661,7.107020872294309e-05,0.00016328903796956155,0.00017251638744463107,0.00016781875975815773,0.000153878271664637,0.00012648587038589023,0.00011625292448104536,0.00017924880811214807,9.403794126244508e-05,0.00020096935378781098,7.194957758356745e-05,0.00013875657193081328,0.00015738470076144006,0.00018215296112793217,0.00020160622323129492,0.00017697738607092063
CMBT,-3.916047157257536e-05,8.366032203793535e-05,0.00019660354165741513,0.00011858897964696303,0.00013206755938960493,0.0001477543794289103,6.21974766968546e-06,9.43429182875115e-05,0.0001335831110529586,0.0001471761326295328,0.00013717142477077834,0.0002580751273598885,0.00011985820805584854,7.518992537282156e-05,-6.621667293726504e-05,3.9125704636406145e-05,6.179417023861064e-05,8.947059440397428e-05,8.430003668714696e-05,0.00011554460759596892,0.0006743362056402677,0.00038289812919967364,8.523656622752988e-05,9.077875189355396e-05,7.527360425220624e-05,0.00012660217881336246,9.30897291510107e-05,8.337747183506284e-05,0.0001039825075986219,5.5667943533762915e-05,7.117216439293792e-05,0.00042950331978871983,6.943345835802045e-05,0.00011796714794500541,0.00018629189704567065,5.248457613212318e-05,0.00013537101224284125,0.00012742265794436726,7.847794762340856e-05,7.042676895727667e-05,0.0001129688392692747,5.417178970997956e-05,0.00011436041867875422,0.00010001933050896595,8.516580345032265e-05,0.00011175506358830868,9.154538700176527e-05
ZIM,8.957287891072479e-05,9.365411781124055e-05,0.0003217137302832904,6.225504669478742e-05,0.00031171557507080885,0.00014001371435947758,7.932262939237502e-05,3.297571214312034e-05,0.00018765998682451657,0.0002975394144209011,0.0002993844154935985,8.903430734889926e-05,0.00030069290142060594,0.00029785945668464787,-0.00010515069975651145,7.082180476640802e-05,5.512754198811775e-05,0.0001834781918704424,0.00017405666238746675,0.00017545489269728728,0.00038289812919967364,0.0021459171972561452,0.00019465593026713151,0.00017184962728027152,0.000129798628801003,0.0001734352013368997,0.00014966755443930968,0.00013911879878021776,0.00020257403341318082,0.00012864679832655908,0.00014195988022345913,0.0004580487986304681,0.0001426978926513799,0.0001084534258139478,0.00018910906224148608,0.0001162643579486984,0.0001809103680777771,0.0002201950058533976,0.0001187381532430809,-9.701823794584224e-06,0.0001519928731560282,7.735009286681895e-05,0.0001883118981329914,0.00014143436788132408,0.00015732975492433197,0.00013416573047256026,0.00014576872785744096
OXLC,-3.3380540324495686e-06,7.392395670913123e-05,8.620744599785355e-05,1.2355174633359123e-06,0.000125162895159464,0.00012103213009986894,3.4389262919238144e-05,5.3588340764206975e-05,0.00012493067279641655,0.0001765068739375517,9.795096826435643e-05,3.4798921179772396e-05,0.0001192970007082768,0.0001395380916512933,-1.7006766869219814e-06,4.798190236354966e-05,7.630339851257551e-05,0.00010473590310443415,8.71198439195902e-05,0.00012751077365477005,8.523656622752988e-05,0.00019465593026713151,0.0002265407240378214,0.00017604560527933644,0.00012133636953889809,9.58340376130915e-05,0.0001219398838965953,0.00010823586858271917,0.00013497824450215215,9.580219583689206e-05,0.0001209347423564043,8.788748519875661e-05,0.00011764633681425332,6.937040124513734e-05,0.0001088136005754276,0.00010482038504145948,9.110946782793878e-05,0.00012003437701490571,0.0001131636947981704,4.960290392076798e-05,0.0001141691566944353,6.292531968304556e-05,0.00010174396891727662,9.840896795267316e-05,0.00010835943794067306,0.00011706467422797609,0.00010746703092134527
